Click Number,Timestamp,Tab Number,Username,Email,User ID,Session ID,URL Clicked,Session Start Time,Session End Time,Time Taken (seconds),Interaction Duration (seconds)
11,"2025-09-18T20:32:21.347Z",3,"Indira Gandhi","indira113@gmail.com","8470","uurfsj","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=17","2025-09-18T20:32:04.476Z","2025-09-18T20:32:21.347Z",16.87,16.87
12,"2025-09-18T20:32:22.403Z",3,"Anita Murthy","anita650@gmail.com","1393","p9qm7r","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=13","2025-09-18T20:32:05.296Z","2025-09-18T20:32:22.403Z",17.11,17.11
13,"2025-09-18T20:32:22.435Z",3,"Aman Varma","aman795@gmail.com","2064","7teuix","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=15","2025-09-18T20:32:05.388Z","2025-09-18T20:32:22.435Z",17.05,17.05
14,"2025-09-18T20:32:22.519Z",3,"Abhishek Chopra","abhishek414@gmail.com","3055","pwosis","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=16","2025-09-18T20:32:05.476Z","2025-09-18T20:32:22.519Z",17.04,17.04
15,"2025-09-18T20:32:22.529Z",3,"Vikram Chokshi","vikram466@gmail.com","3014","ookk84","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=14","2025-09-18T20:32:05.369Z","2025-09-18T20:32:22.529Z",17.16,17.16
16,"2025-09-18T20:32:39.527Z",4,"Shreya Mazumdar","shreya809@gmail.com","4172","7fntkp","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=17","2025-09-18T20:32:23.193Z","2025-09-18T20:32:39.527Z",16.33,16.33
17,"2025-09-18T20:32:41.227Z",4,"Arjun Joshi","arjun312@gmail.com","5263","83bh1h","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=14","2025-09-18T20:32:24.283Z","2025-09-18T20:32:41.227Z",16.94,16.94
18,"2025-09-18T20:32:41.227Z",4,"Kalpana Krishnan","kalpana541@gmail.com","4500","7mt1gt","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=16","2025-09-18T20:32:23.976Z","2025-09-18T20:32:41.227Z",17.25,17.25
20,"2025-09-18T20:32:41.323Z",4,"Manish Ganguly","manish809@gmail.com","6130","sfxoty","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=13","2025-09-18T20:32:24.416Z","2025-09-18T20:32:41.323Z",16.91,16.91
19,"2025-09-18T20:32:41.323Z",4,"Bindu Murthy","bindu603@gmail.com","8065","9zyh6d","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=15","2025-09-18T20:32:24.424Z","2025-09-18T20:32:41.323Z",16.9,16.90
21,"2025-09-18T20:32:57.334Z",5,"Akash Goel","akash600@gmail.com","2722","t3jjwi","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=17","2025-09-18T20:32:40.984Z","2025-09-18T20:32:57.334Z",16.35,16.35
22,"2025-09-18T20:32:59.237Z",5,"Indira Pillai","indira880@gmail.com","4419","45nj6a","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=15","2025-09-18T20:32:42.851Z","2025-09-18T20:32:59.237Z",16.39,16.39
23,"2025-09-18T20:32:59.473Z",5,"Lalit Tandon","lalit202@gmail.com","1835","ar5u09","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=16","2025-09-18T20:32:43.246Z","2025-09-18T20:32:59.473Z",16.23,16.23
24,"2025-09-18T20:33:00.469Z",5,"Aman Srivastava","aman515@gmail.com","2102","dipvg4","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=13","2025-09-18T20:32:44.182Z","2025-09-18T20:33:00.469Z",16.29,16.29
25,"2025-09-18T20:33:00.671Z",5,"Ravi Naidu","ravi489@gmail.com","8789","nj9xoy","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=14","2025-09-18T20:32:44.339Z","2025-09-18T20:33:00.671Z",16.33,16.33
1,"2025-09-18T20:34:26.092Z",1,"Ramesh Mehta","ramesh879@gmail.com","4681","og1n0l","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=16","2025-09-18T20:34:07.899Z","2025-09-18T20:34:26.092Z",18.19,18.19
2,"2025-09-18T20:34:26.115Z",1,"Vivek Patel","vivek897@gmail.com","1519","xzlpe9","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=14","2025-09-18T20:34:07.899Z","2025-09-18T20:34:26.115Z",18.22,18.22
3,"2025-09-18T20:34:26.115Z",1,"Vinod Jain","vinod432@gmail.com","2278","8hn7nu","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=15","2025-09-18T20:34:07.899Z","2025-09-18T20:34:26.115Z",18.22,18.22
4,"2025-09-18T20:34:26.331Z",1,"Abhishek Bhatia","abhishek542@gmail.com","1163","v7puu3","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=13","2025-09-18T20:34:07.899Z","2025-09-18T20:34:26.331Z",18.43,18.43
5,"2025-09-18T20:34:26.400Z",1,"Shreya Pandey","shreya493@gmail.com","4882","e38hbx","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=17","2025-09-18T20:34:07.898Z","2025-09-18T20:34:26.399Z",18.5,18.50
6,"2025-09-18T20:34:45.609Z",2,"Yash Modi","yash459@gmail.com","3041","w2usth","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=15","2025-09-18T20:34:28.167Z","2025-09-18T20:34:45.609Z",17.44,17.44
7,"2025-09-18T20:34:45.706Z",2,"Rina Bhattacharya","rina849@gmail.com","2930","2qrzkz","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=13","2025-09-18T20:34:27.815Z","2025-09-18T20:34:45.706Z",17.89,17.89
8,"2025-09-18T20:34:45.706Z",2,"Usha Pandya","usha475@gmail.com","9734","vepxha","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=16","2025-09-18T20:34:28.274Z","2025-09-18T20:34:45.706Z",17.43,17.43
9,"2025-09-18T20:34:45.812Z",2,"Preeti Chopra","preeti248@gmail.com","2130","m15koh","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=17","2025-09-18T20:34:28.454Z","2025-09-18T20:34:45.812Z",17.36,17.36
10,"2025-09-18T20:34:46.052Z",2,"Vishal Sheth","vishal694@gmail.com","8858","3wclug","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=14","2025-09-18T20:34:29.563Z","2025-09-18T20:34:46.052Z",16.49,16.49
11,"2025-09-18T20:35:03.978Z",3,"Prakash Sachdeva","prakash663@gmail.com","7842","xt3390","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=13","2025-09-18T20:34:47.793Z","2025-09-18T20:35:03.978Z",16.18,16.18
12,"2025-09-18T20:35:06.105Z",3,"Yash Chawla","yash810@gmail.com","8167","ison8a","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=15","2025-09-18T20:34:48.787Z","2025-09-18T20:35:06.105Z",17.32,17.32
13,"2025-09-18T20:35:06.106Z",3,"Anita Bhattacharya","anita342@gmail.com","8994","qvvndv","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=14","2025-09-18T20:34:48.537Z","2025-09-18T20:35:06.106Z",17.57,17.57
14,"2025-09-18T20:35:06.180Z",3,"Anita Desai","anita265@gmail.com","7657","zlcplc","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=16","2025-09-18T20:34:48.984Z","2025-09-18T20:35:06.180Z",17.2,17.20
15,"2025-09-18T20:35:06.216Z",3,"Ramesh Aggarwal","ramesh743@gmail.com","1283","j739u3","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=17","2025-09-18T20:34:48.621Z","2025-09-18T20:35:06.215Z",17.59,17.59
16,"2025-09-18T20:35:22.768Z",4,"Sanjay Srivastava","sanjay341@gmail.com","3870","5k5x0f","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=13","2025-09-18T20:35:06.630Z","2025-09-18T20:35:22.768Z",16.14,16.14
17,"2025-09-18T20:35:24.883Z",4,"Swati Singh","swati983@gmail.com","2044","iijtsn","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=16","2025-09-18T20:35:08.159Z","2025-09-18T20:35:24.883Z",16.72,16.72
18,"2025-09-18T20:35:24.893Z",4,"Hemant Naidu","hemant877@gmail.com","5454","mib1p3","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=17","2025-09-18T20:35:08.002Z","2025-09-18T20:35:24.893Z",16.89,16.89
19,"2025-09-18T20:35:25.280Z",4,"Deepti Chawla","deepti137@gmail.com","7315","k2u20f","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=15","2025-09-18T20:35:08.850Z","2025-09-18T20:35:25.280Z",16.43,16.43
20,"2025-09-18T20:35:25.504Z",4,"Rina Sachdeva","rina529@gmail.com","6129","oc8sdl","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=14","2025-09-18T20:35:08.983Z","2025-09-18T20:35:25.504Z",16.52,16.52
21,"2025-09-18T20:35:40.885Z",5,"Tanvi Kapoor","tanvi515@gmail.com","6897","vp03e1","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=13","2025-09-18T20:35:24.569Z","2025-09-18T20:35:40.885Z",16.32,16.32
22,"2025-09-18T20:35:44.521Z",5,"Radha Sachdeva","radha788@gmail.com","6708","jfcp8n","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=14","2025-09-18T20:35:26.864Z","2025-09-18T20:35:44.521Z",17.66,17.66
23,"2025-09-18T20:35:44.579Z",5,"Anil Jain","anil998@gmail.com","3153","syq9ed","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=17","2025-09-18T20:35:26.987Z","2025-09-18T20:35:44.579Z",17.59,17.59
24,"2025-09-18T20:35:44.670Z",5,"Sapna Oberoi","sapna435@gmail.com","5914","divpwc","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=16","2025-09-18T20:35:26.838Z","2025-09-18T20:35:44.670Z",17.83,17.83
25,"2025-09-18T20:35:44.749Z",5,"Anupam Bajaj","anupam811@gmail.com","3288","b6v3tu","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=15","2025-09-18T20:35:28.044Z","2025-09-18T20:35:44.749Z",16.7,16.70
1,"2025-09-18T20:36:18.993Z",1,"Manoj Mitra","manoj260@gmail.com","9877","1q2agj","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=16","2025-09-18T20:35:59.942Z","2025-09-18T20:36:18.993Z",19.05,19.05
2,"2025-09-18T20:36:19.123Z",1,"Deepak Menon","deepak423@gmail.com","2695","oxe54o","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=14","2025-09-18T20:35:59.942Z","2025-09-18T20:36:19.123Z",19.18,19.18
3,"2025-09-18T20:36:19.176Z",1,"Ajay Kothari","ajay469@gmail.com","4556","d81a35","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=13","2025-09-18T20:35:59.942Z","2025-09-18T20:36:19.176Z",19.23,19.23
4,"2025-09-18T20:36:19.239Z",1,"Anupam Thakur","anupam705@gmail.com","8864","pxslpw","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=17","2025-09-18T20:35:59.940Z","2025-09-18T20:36:19.239Z",19.3,19.30
5,"2025-09-18T20:36:19.240Z",1,"Anupam Varma","anupam351@gmail.com","8542","lkefwk","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=15","2025-09-18T20:35:59.942Z","2025-09-18T20:36:19.240Z",19.3,19.30
6,"2025-09-18T20:36:39.414Z",2,"Aarti Arora","aarti868@gmail.com","2475","yvqgk0","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=15","2025-09-18T20:36:20.856Z","2025-09-18T20:36:39.414Z",18.56,18.56
7,"2025-09-18T20:36:39.508Z",2,"Jatin Kothari","jatin913@gmail.com","5033","cyvae3","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=14","2025-09-18T20:36:21.451Z","2025-09-18T20:36:39.508Z",18.06,18.06
8,"2025-09-18T20:36:39.542Z",2,"Divya Venkatesh","divya990@gmail.com","9974","9pcsio","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=16","2025-09-18T20:36:21.595Z","2025-09-18T20:36:39.542Z",17.95,17.95
9,"2025-09-18T20:36:39.624Z",2,"Tanvi Shenoy","tanvi57@gmail.com","5913","5gc54a","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=17","2025-09-18T20:36:21.653Z","2025-09-18T20:36:39.624Z",17.97,17.97
10,"2025-09-18T20:36:39.625Z",2,"Radha Raval","radha784@gmail.com","9026","rkfina","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=13","2025-09-18T20:36:22.388Z","2025-09-18T20:36:39.625Z",17.24,17.24
1,"2025-09-18T20:38:05.199Z",3,"Kavya Mukherjee","kavya231@gmail.com","3486","2zvvzc","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=15","2025-09-18T20:37:18.574Z","2025-09-18T20:38:05.198Z",46.62,46.62
2,"2025-09-18T20:38:05.200Z",3,"Rohit Shenoy","rohit248@gmail.com","1680","79vgev","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=17","2025-09-18T20:37:18.573Z","2025-09-18T20:38:05.200Z",46.63,46.63
3,"2025-09-18T20:38:05.230Z",2,"Rakesh Biswas","rakesh754@gmail.com","2104","r5e5ia","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=13","2025-09-18T20:37:18.574Z","2025-09-18T20:38:05.230Z",46.66,46.66
4,"2025-09-18T20:38:05.232Z",5,"Ravi Chokshi","ravi645@gmail.com","5972","fie72p","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=13","2025-09-18T20:37:18.574Z","2025-09-18T20:38:05.232Z",46.66,46.66
5,"2025-09-18T20:38:05.239Z",2,"Alka Goel","alka678@gmail.com","6687","y2u2p5","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=15","2025-09-18T20:37:18.574Z","2025-09-18T20:38:05.239Z",46.66,46.66
6,"2025-09-18T20:38:05.239Z",1,"Preeti Roy","preeti22@gmail.com","7855","zu4so2","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=13","2025-09-18T20:37:18.574Z","2025-09-18T20:38:05.239Z",46.66,46.66
7,"2025-09-18T20:38:05.240Z",1,"Suresh Banerjee","suresh129@gmail.com","6577","ll4d66","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=17","2025-09-18T20:37:18.572Z","2025-09-18T20:38:05.240Z",46.67,46.67
8,"2025-09-18T20:38:05.242Z",2,"Rajesh Verma","rajesh251@gmail.com","5212","nz4cyz","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=16","2025-09-18T20:37:18.574Z","2025-09-18T20:38:05.242Z",46.67,46.67
9,"2025-09-18T20:38:05.253Z",4,"Anil Chatterjee","anil535@gmail.com","7010","lic9me","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=13","2025-09-18T20:37:18.574Z","2025-09-18T20:38:05.253Z",46.68,46.68
10,"2025-09-18T20:38:05.428Z",4,"Seema Vohra","seema370@gmail.com","2820","ks9758","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=14","2025-09-18T20:37:18.574Z","2025-09-18T20:38:05.428Z",46.85,46.85
11,"2025-09-18T20:38:05.429Z",5,"Priya Jain","priya491@gmail.com","7513","kqqal2","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=15","2025-09-18T20:37:18.574Z","2025-09-18T20:38:05.429Z",46.85,46.85
12,"2025-09-18T20:38:05.430Z",5,"Sapna Mahajan","sapna885@gmail.com","1249","utnj9e","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=17","2025-09-18T20:37:18.574Z","2025-09-18T20:38:05.430Z",46.86,46.86
13,"2025-09-18T20:38:05.437Z",3,"Gaurav Gupta","gaurav718@gmail.com","8979","bm1dv4","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=16","2025-09-18T20:37:18.574Z","2025-09-18T20:38:05.437Z",46.86,46.86
14,"2025-09-18T20:38:05.438Z",2,"Anil Bajaj","anil265@gmail.com","8295","f5bnhu","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=17","2025-09-18T20:37:18.573Z","2025-09-18T20:38:05.438Z",46.87,46.87
15,"2025-09-18T20:38:05.443Z",3,"Hemant Pillai","hemant510@gmail.com","3718","phm274","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=14","2025-09-18T20:37:18.574Z","2025-09-18T20:38:05.443Z",46.87,46.87
16,"2025-09-18T20:38:05.444Z",4,"Harsh Wadhwa","harsh800@gmail.com","5442","97z41p","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=15","2025-09-18T20:37:18.574Z","2025-09-18T20:38:05.444Z",46.87,46.87
17,"2025-09-18T20:38:05.444Z",1,"Rakesh Pal","rakesh814@gmail.com","2807","b54jo7","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=14","2025-09-18T20:37:18.574Z","2025-09-18T20:38:05.444Z",46.87,46.87
18,"2025-09-18T20:38:05.445Z",5,"Swati Biswas","swati465@gmail.com","5459","bn00c3","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=14","2025-09-18T20:37:18.574Z","2025-09-18T20:38:05.445Z",46.87,46.87
19,"2025-09-18T20:38:05.445Z",2,"Varun Zaveri","varun145@gmail.com","8555","vpd3s1","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=14","2025-09-18T20:37:18.574Z","2025-09-18T20:38:05.445Z",46.87,46.87
20,"2025-09-18T20:38:05.446Z",3,"Vaishali Biswas","vaishali299@gmail.com","4939","lwwqi2","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=13","2025-09-18T20:37:18.574Z","2025-09-18T20:38:05.446Z",46.87,46.87
21,"2025-09-18T20:38:05.446Z",4,"Mukesh Sheth","mukesh795@gmail.com","9454","gol8cy","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=17","2025-09-18T20:37:18.574Z","2025-09-18T20:38:05.446Z",46.87,46.87
22,"2025-09-18T20:38:05.446Z",5,"Nidhi Goel","nidhi552@gmail.com","4767","vwhjdo","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=16","2025-09-18T20:37:18.574Z","2025-09-18T20:38:05.446Z",46.87,46.87
23,"2025-09-18T20:38:05.447Z",1,"Priya Srivastava","priya335@gmail.com","5387","u1ff5h","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=16","2025-09-18T20:37:18.574Z","2025-09-18T20:38:05.447Z",46.87,46.87
24,"2025-09-18T20:38:05.486Z",1,"Divya Vora","divya735@gmail.com","8099","dskm2m","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=15","2025-09-18T20:37:18.574Z","2025-09-18T20:38:05.486Z",46.91,46.91
25,"2025-09-18T20:38:05.486Z",4,"Mamta Srivastava","mamta120@gmail.com","6859","rzbsc6","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=16","2025-09-18T20:37:18.574Z","2025-09-18T20:38:05.486Z",46.91,46.91
26,"2025-09-18T20:38:46.091Z",9,"Indira Singh","indira823@gmail.com","9064","49a6af","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=15","2025-09-18T20:38:08.386Z","2025-09-18T20:38:46.091Z",37.7,37.70
1,"2025-09-18T20:41:09.085Z",2,"Vishal Mahajan","vishal157@gmail.com","9370","dl19yt","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=17","2025-09-18T20:40:45.663Z","2025-09-18T20:41:09.083Z",23.42,23.42
2,"2025-09-18T20:41:09.086Z",2,"Ajay Shah","ajay811@gmail.com","4839","k4z55j","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=14","2025-09-18T20:40:45.663Z","2025-09-18T20:41:09.086Z",23.42,23.42
3,"2025-09-18T20:41:09.103Z",2,"Yamini Biswas","yamini265@gmail.com","4340","tf1oss","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=16","2025-09-18T20:40:45.664Z","2025-09-18T20:41:09.103Z",23.44,23.44
4,"2025-09-18T20:41:09.104Z",1,"Vivek Bhardwaj","vivek196@gmail.com","5446","9yqte9","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=14","2025-09-18T20:40:45.663Z","2025-09-18T20:41:09.104Z",23.44,23.44
5,"2025-09-18T20:41:09.695Z",1,"Pankaj Bhatt","pankaj573@gmail.com","5309","60w3zl","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=13","2025-09-18T20:40:45.663Z","2025-09-18T20:41:09.695Z",24.03,24.03
6,"2025-09-18T20:41:09.711Z",1,"Harsh Sharma","harsh115@gmail.com","2246","oqokne","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=16","2025-09-18T20:40:45.664Z","2025-09-18T20:41:09.711Z",24.05,24.05
7,"2025-09-18T20:41:09.777Z",1,"Rajeev Venkatesh","rajeev102@gmail.com","1736","hbh48s","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=17","2025-09-18T20:40:45.662Z","2025-09-18T20:41:09.776Z",24.11,24.11
8,"2025-09-18T20:41:09.778Z",1,"Vivek Kulkarni","vivek303@gmail.com","8228","r04k8g","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=15","2025-09-18T20:40:45.664Z","2025-09-18T20:41:09.778Z",24.11,24.11
9,"2025-09-18T20:41:09.877Z",2,"Chhaya Rao","chhaya993@gmail.com","7222","p4q2uy","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=13","2025-09-18T20:40:45.663Z","2025-09-18T20:41:09.877Z",24.21,24.21
10,"2025-09-18T20:41:33.771Z",3,"Deepak Zaveri","deepak115@gmail.com","2932","x4d59i","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=15","2025-09-18T20:41:11.625Z","2025-09-18T20:41:33.771Z",22.15,22.15
11,"2025-09-18T20:41:33.807Z",4,"Ankit Parikh","ankit206@gmail.com","7157","hgfino","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=15","2025-09-18T20:41:11.625Z","2025-09-18T20:41:33.807Z",22.18,22.18
12,"2025-09-18T20:41:35.601Z",3,"Arjun Gandhi","arjun776@gmail.com","6590","1s0xus","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=14","2025-09-18T20:41:12.413Z","2025-09-18T20:41:35.601Z",23.19,23.19
13,"2025-09-18T20:41:35.903Z",4,"Geeta Venkatesh","geeta69@gmail.com","5400","if3k98","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=14","2025-09-18T20:41:12.414Z","2025-09-18T20:41:35.903Z",23.49,23.49
14,"2025-09-18T20:41:35.936Z",4,"Ekta Chopra","ekta656@gmail.com","2903","xj4usw","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=16","2025-09-18T20:41:12.606Z","2025-09-18T20:41:35.936Z",23.33,23.33
15,"2025-09-18T20:41:36.594Z",3,"Ashok Saxena","ashok342@gmail.com","4296","88j8hn","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=16","2025-09-18T20:41:12.606Z","2025-09-18T20:41:36.594Z",23.99,23.99
16,"2025-09-18T20:41:42.204Z",6,"Rajesh Tandon","rajesh413@gmail.com","5729","ngm394","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=17","2025-09-18T20:41:22.355Z","2025-09-18T20:41:42.204Z",19.85,19.85
17,"2025-09-18T20:41:45.428Z",5,"Vivek Trivedi","vivek373@gmail.com","6506","xefza6","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=13","2025-09-18T20:41:21.327Z","2025-09-18T20:41:45.428Z",24.1,24.10
18,"2025-09-18T20:41:46.382Z",5,"Abhishek Subramanian","abhishek628@gmail.com","7705","tmi23f","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=17","2025-09-18T20:41:22.323Z","2025-09-18T20:41:46.382Z",24.06,24.06
19,"2025-09-18T20:41:52.654Z",5,"Lalita Subramanian","lalita326@gmail.com","5353","wkvqzv","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=15","2025-09-18T20:41:35.903Z","2025-09-18T20:41:52.654Z",16.75,16.75
20,"2025-09-18T20:41:52.698Z",6,"Varun Bansal","varun193@gmail.com","8454","dry9um","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=15","2025-09-18T20:41:35.903Z","2025-09-18T20:41:52.698Z",16.8,16.80
21,"2025-09-18T20:41:54.257Z",5,"Sita Chopra","sita789@gmail.com","7118","x7v3c4","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=14","2025-09-18T20:41:37.485Z","2025-09-18T20:41:54.257Z",16.77,16.77
22,"2025-09-18T20:41:54.257Z",6,"Naveen Singh","naveen575@gmail.com","1504","qnt6eo","https://aiskillshouse.com/student/qr-mediator.html?uid=50&promptId=14","2025-09-18T20:41:37.485Z","2025-09-18T20:41:54.257Z",16.77,16.77
